africa (n) . /ˈæfrɪkə/ | Châu Phi
robber (n) . /ˈrɑːbər/ | kẻ cướp
rock (n) . /rɑːk/ | nhạc rock, hòn đá
roller coaster (n) . /ˈroʊlər koʊstər/ | tàu lượn siêu tốc
romantic (adj) . /roʊˈmæntɪk/ | lãng mạn
room (n) . /ruːm/ | căn phòng
roommate (n) . /ˈruːmmeɪt/ | bạn cùng phòng
routine (n) . /ruːˈtiːn/ | thói quen hàng ngày
rude (adj) . /ruːd/ | thô lỗ, cộc cằn
rug (n) . /rʌɡ/ | miếng thảm
rugby (n) . /ˈrʌɡbi/ | bóng bầu dục
rule (n) . /ruːl/ | quy tắc, luật lệ
rumor (n) . /ˈruːmər/ | tin đồn
run (v/n) . /rʌn/ | chạy
sad (adj) . /sæd/ | buồn
safe (adj) . /seɪf/ | an toàn
salad (n) . /ˈsæləd/ | món sa lát
salt (n) . /sɔːlt/ | muối
salty (adj) . /ˈsɔːlti/ | mặn
same (adj/pronoun) . /seɪm/ | giống nhau, cùng loại
sandwich (n) . /ˈsænwɪtʃ/ | bánh mì kẹp
sang (v) . /sæŋ/ | đã hát
saturday (n) . /ˈsætərdeɪ/ | thứ Bảy
sauce (n) . /sɔːs/ | nước sốt
save (v) . /seɪv/ | lưu lại, cứu
saw (v) . /sɔː/ | đã nhìn thấy
say (v) . /seɪ/ | nói
scarf (n) . /skɑːrf/ | khăn quàng cổ
scary (adj) . /ˈskeri/ | đáng sợ, kinh dị
schedule (n/v) . /ˈskedʒuːl/ | lịch trình, thời khóa biểu
school (n) . /skuːl/ | trường học
science (n) . /ˈsaɪəns/ | khoa học
scissors (n) . /ˈsɪzərz/ | cái kéo
scooter (n) . /ˈskuːtər/ | xe máy điện, xe scooter
score (n/v) . /skɔːr/ | điểm số
screen (n) . /skriːn/ | màn hình
seafood (n) . /ˈsiːfuːd/ | hải sản
season (n) . /ˈsiːzn/ | mùa
seat (n) . /siːt/ | chỗ ngồi
second (number/n) . /ˈsekənd/ | thứ hai, giây
secretary (n) . /ˈsekrəteri/ | thư ký
see (v) . /siː/ | nhìn thấy, xem
see you later (phrase) . /siː juː ˈleɪtər/ | hẹn gặp lại sau
see you soon (phrase) . /siː juː suːn/ | sớm gặp lại bạn
see you tomorrow (phrase) . /siː juː təˈmɑːroʊ/ | gặp lại ngày mai
seem (v) . /siːm/ | có vẻ như
sell (v) . /sel/ | bán
send (v) . /send/ | gửi đi
sent (v) . /sent/ | đã gửi
sentence (n) . /ˈsentəns/ | câu văn
server (n) . /ˈsɜːrvər/ | người phục vụ
seven (number) . /ˈsevn/ | bảy
several (determiner/pronoun) . /ˈsevrəl/ | một vài
shampoo (n) . /ʃæmˈpuː/ | dầu gội đầu
share (v) . /ʃer/ | chia sẻ, dùng chung
she (pronoun) . /ʃiː/ | cô ấy
she'll (phrase) . /ʃiːl/ | cô ấy sẽ
she's (phrase) . /ʃiːz/ | cô ấy là
shirt (n) . /ʃɜːrt/ | áo sơ mi
shocked (adj) . /ʃɑːkt/ | bị sốc
shoe (n) . /ʃuː/ | chiếc giày
shoe store (n) . /ˈʃuː stɔːr/ | cửa hàng giày
shop (n/v) . /ʃɑːp/ | cửa hàng, đi mua sắm
short (adj) . /ʃɔːrt/ | ngắn, thấp
should (modal v) . /ʃʊd/ | nên
shouldn't (modal v) . /ˈʃʊdnt/ | không nên
shout (v/n) . /ʃaʊt/ | la hét
show (v/n) . /ʃoʊ/ | chỉ ra, dạy, chương trình
shower (n/v) . /ˈʃaʊər/ | vòi hoa sen, tắm
sick (adj) . /sɪk/ | bị ốm, bệnh
side (n) . /saɪd/ | phía, bên
side effect (n) . /ˈsaɪd ɪˌfekt/ | tác dụng phụ
silver (n/adj) . /ˈsɪlvər/ | bạc
simple (adj) . /ˈsɪmpl/ | đơn giản, giản dị
sing (v) . /sɪŋ/ | hát
singer (n) . /ˈsɪŋər/ | ca sĩ
single (adj) . /ˈsɪŋɡl/ | độc thân
sink (n) . /sɪŋk/ | bồn rửa mặt/bát
sir (n) . /sɜːr/ | thưa ông (ngài)
sister (n) . /ˈsɪstər/ | chị gái, em gái
sit (v) . /sɪt/ | ngồi
six (number) . /sɪks/ | sáu
sixty (number) . /ˈsɪksti/ | sáu mươi
size (n) . /saɪz/ | kích cỡ
ski (v/n) . /skiː/ | trượt tuyết
skill (n) . /skɪl/ | kỹ năng
skip (v) . /skɪp/ | bỏ qua
skirt (n) . /skɜːrt/ | chân váy
sleep (v/n) . /sliːp/ | ngủ
sleepy (adj) . /ˈsliːpi/ | buồn ngủ
slice (n/v) . /slaɪs/ | lát, miếng mỏng
slow (adj/adv) . /sloʊ/ | chậm chạp
small (adj) . /smɔːl/ | nhỏ, bé
smart (adj) . /smɑːrt/ | thông minh
smell bad (v) . /smel bæd/ | có mùi hôi
smile (v/n) . /smaɪl/ | mỉm cười
smoothie (n) . /ˈsmuːði/ | sinh tố
snack (n) . /snæk/ | món ăn nhẹ, quà vặt
snake (n) . /sneɪk/ | con rắn
snow (n/v) . /snoʊ/ | tuyết, tuyết rơi
so (conj/adv) . /soʊ/ | vì vậy, quá
so much (phrase) . /soʊ mʌtʃ/ | rất nhiều
soap (n) . /soʊp/ | xà phòng
soccer (n) . /ˈsɑːkər/ | bóng đá
social media (n) . /ˌsoʊʃl ˈmiːdiə/ | mạng xã hội
sock (n) . /sɑːk/ | chiếc tất (vớ)
soda (n) . /ˈsoʊdə/ | nước ngọt có gas
sofa (n) . /ˈsoʊfə/ | ghế sofa
software (n) . /ˈsɔːftwer/ | phần mềm
some of (phrase) . /sʌm ɒv/ | một vài trong số
someone (pronoun) . /ˈsʌmwʌn/ | ai đó
something (pronoun) . /ˈsʌmθɪŋ/ | điều gì đó
sometimes (adv) . /ˈsʌmtaɪmz/ | thỉnh thoảng
son (n) . /sʌn/ | con trai
song (n) . /sɔːŋ/ | bài hát
soon (adv) . /suːn/ | sớm
sorry (adj/interj) . /ˈsɑːri/ | xin lỗi
sound (n/v) . /saʊnd/ | âm thanh, nghe có vẻ
soup (n) . /suːp/ | món súp, canh
speak (v) . /spiːk/ | nói, nói chuyện
speak to (v) . /spiːk tu/ | nói chuyện với
special (adj) . /ˈspeʃl/ | đặc biệt
spend (v) . /spend/ | tiêu tiền / thời gian
spice (n) . /spaɪs/ | gia vị
spicy (adj) . /ˈspaɪsi/ | cay
spoon (n) . /spuːn/ | thìa (muỗng)
sport (n) . /spɔːrt/ | thể thao
spring (n) . /sprɪŋ/ | mùa xuân
stage (n) . /steɪdʒ/ | sân khấu
stairs (n) . /sterz/ | cầu thang
stamp (n) . /stæmp/ | con tem
stand (v) . /stænd/ | đứng
start (v/n) . /stɑːrt/ | bắt đầu
start school (v) . /stɑːrt skuːl/ | bắt đầu đi học
start work (v) . /stɑːrt wɜːrk/ | bắt đầu làm việc
station (n) . /ˈsteɪʃn/ | nhà ga
stay (v) . /steɪ/ | ở lại
stay home (v) . /steɪ hoʊm/ | ở nhà
steal (v) . /stiːl/ | ăn trộm
still (adv) . /stɪl/ | vẫn, vẫn còn
stole (v) . /stoʊl/ | đã ăn cắp
stomach (n) . /ˈstʌmək/ | dạ dày, bụng
stomachache (n) . /ˈstʌmək-eɪk/ | đau dạ dày, đau bụng
store (n) . /stɔːr/ | cửa hàng
storm (n) . /stɔːrm/ | cơn bão
story (n) . /ˈstɔːri/ | câu chuyện
stove (n) . /stoʊv/ | bếp, lò nấu
strange (adj) . /streɪndʒ/ | lạ lùng
strawberry (n) . /ˈstrɔːberi/ | dâu tây
street (n) . /striːt/ | đường phố
stressed (adj) . /strest/ | căng thẳng
stressed out (adj) . /strest aʊt/ | bị căng thẳng
stressful (adj) . /ˈstresfl/ | gây căng thẳng
stretch (v/n) . /stretʃ/ | giãn cơ
strong (adj) . /strɔːŋ/ | mạnh mẽ, khỏe
student (n) . /ˈstuːdnt/ | học sinh, sinh viên
study (v/n) . /ˈstʌdi/ | học, nghiên cứu
stuff (n) . /stʌf/ | đồ đạc
subject (n) . /ˈsʌbdʒɪkt/ | môn học, chủ đề
subway (n) . /ˈsʌbweɪ/ | tàu điện ngầm
such a (phrase) . /sʌtʃ ə/ | thật là một...
sugar (n) . /ˈʃʊɡər/ | đường (ăn)
suggestion (n) . /səˈdʒestʃən/ | sự đề xuất
suitcase (n) . /ˈsuːtkeɪs/ | va li
summer (n) . /ˈsʌmər/ | mùa hè
sunday (n) . /ˈsʌndeɪ/ | Chủ Nhật
sunglasses (n) . /ˈsʌnɡlæsɪz/ | kính râm
sunscreen (n) . /ˈsʌnskriːn/ | kem chống nắng
supermarket (n) . /ˈsuːpərmɑːrkɪt/ | siêu thị
supper (n) . /ˈsʌpər/ | bữa tối muộn
sure (adj/adv) . /ʃʊr/ | chắc chắn, tất nhiên
surf (v) . /sɜːrf/ | lướt sóng
surgery (n) . /ˈsɜːrdʒəri/ | phẫu thuật
surprised (adj) . /sərˈpraɪzd/ | ngạc nhiên
sushi (n) . /ˈsuːʃi/ | món sushi
sweater (n) . /ˈswetər/ | áo len
sweep (v) . /swiːp/ | quét nhà
sweet (adj) . /swiːt/ | ngọt
sweets (n) . /swiːts/ | kẹo (đồ ngọt)
swim (v/n) . /swɪm/ | bơi
swimsuit (n) . /ˈswɪmsuːt/ | đồ bơi
symptom (n) . /ˈsɪmptəm/ | triệu chứng
t-shirt (n) . /ˈtiː ʃɜːrt/ | áo phông (thun)
table (n) . /ˈteɪbl/ | cái bàn
tablet (n) . /ˈtæblət/ | máy tính bảng
take (v) . /teɪk/ | lấy, đưa đi, dẫn đi
take a flight (v) . /teɪk ə flaɪt/ | đi máy bay
take a nap (v) . /teɪk ə næp/ | nghỉ trưa, chợp mắt
take a tour (v) . /teɪk ə tʊr/ | vào chuyến tham quan
take care (v) . /teɪk ker/ | bảo trọng, giữ gìn sức khỏe
take notes (v) . /teɪk noʊts/ | ghi chú
talk (v/n) . /tɔːk/ | nói chuyện
talk about (v) . /tɔːk əˈbaʊt/ | nói về cái gì đó
tall (adj) . /tɔːl/ | cao lớn
tape (n) . /teɪp/ | băng dính
task (n) . /tæsk/ | nhiệm vụ, công việc
tasty (adj) . /ˈteɪsti/ | ngon, đậm đà
tea (n) . /tiː/ | trà, chè
teach (v) . /tiːtʃ/ | dạy học
teacher (n) . /ˈtiːtʃər/ | giáo viên
team (n) . /tiːm/ | đội, nhóm
teaspoon (n) . /ˈtiːspuːn/ | thìa cà phê
teeth (n) . /tiːθ/ | răng (số nhiều)
tell (v) . /tel/ | kể, nói cho biết
temperature (n) . /ˈtemprətʃər/ | nhiệt độ
ten (number) . /ten/ | mười
tennis (n) . /ˈtenɪs/ | quần vợt
tent (n) . /tent/ | cái lều
test (n/v) . /test/ | bài kiểm tra
text (n/v) . /tekst/ | văn bản, nhắn tin
text message (n) . /ˈtekst ˈmesɪdʒ/ | tin nhắn văn bản
textbook (n) . /ˈtekstbʊk/ | sách giáo khoa
than (prep/conj) . /ðæn/ | hơn (so sánh)
thank (v) . /θæŋk/ | cảm ơn
thank you (phrase) . /ˈθæŋk juː/ | cảm ơn bạn
thank you for (phrase) . /ˈθæŋk juː fɔːr/ | cảm ơn vì
that (pronoun/determiner) . /ðæt/ | kia, đó
that one (phrase) . /ðæt wʌn/ | cái đó
that's (phrase) . /ðæts/ | đó là
that's too bad (phrase) . /ðæts tuː bæd/ | thật đáng tiếc
the (determiner) . /ðə/ | (mạo từ xác định)
the flu (n) . /ðə fluː/ | bệnh cúm
the mail (n) . /ðə meɪl/ | thư từ
the most (adv) . /ðə moʊst/ | nhất (so sánh nhất)
the truth (n) . /ðə truːθ/ | sự thật
their (determiner) . /ðer/ | của họ
them (pronoun) . /ðem/ | họ, chúng (tân ngữ)
theme park (n) . /ˈθiːm pɑːrk/ | công viên giải trí
then (adv) . /ðen/ | sau đó
therapist (n) . /ˈθerəpɪst/ | chuyên gia tâm lý
there (adv) . /ðer/ | ở đó
there are (v) . /ðer ɑːr/ | có (số nhiều)
there is (v) . /ðer ɪz/ | có (số ít)
there's (phrase) . /ðerz/ | có một...
these (pronoun/determiner) . /ðiːz/ | những cái này
they'll (phrase) . /ðeɪl/ | họ sẽ
they're (phrase) . /ðeɪr/ | họ là
thing (n) . /θɪŋ/ | thứ, đồ vật
think (v) . /θɪŋk/ | suy nghĩ
thirsty (adj) . /ˈθɜːrsti/ | khát nước
thirteen (number) . /ˌθɜːrˈtiːn/ | mười ba
thirty (number) . /ˈθɜːrti/ | ba mươi
thirty-first (number) . /ˌθɜːrti ˈfɜːrst/ | ngày 31
this (pronoun/determiner) . /ðɪs/ | đây, cái này
this one (phrase) . /ðɪs wʌn/ | cái này
those (pronoun/determiner) . /ðoʊz/ | những cái đó
thought (v) . /θɔːt/ | đã nghĩ, suy nghĩ
three (number) . /θriː/ | ba
throat (n) . /θroʊt/ | cổ họng
throw (v) . /θroʊ/ | ném
ticket (n) . /ˈtɪkɪt/ | vé
tie (n/v) . /taɪ/ | cà vạt, buộc
time (n) . /taɪm/ | thời gian
tip (n) . /tɪp/ | tiền boa, mẹo
tired (adj) . /ˈtaɪərd/ | mệt mỏi
toast (n) . /toʊst/ | bánh mì nướng
together (adv) . /təˈɡeðər/ | cùng nhau
toilet (n) . /ˈtɔɪlət/ | bồn cầu, nhà vệ sinh
toilet paper (n) . /ˈtɔɪlət ˈpeɪpər/ | giấy vệ sinh
told (v) . /toʊld/ | đã nói, đã kể
tomato (n) . /təˈmeɪtoʊ/ | cà chua
tomorrow (adv/n) . /təˈmɑːroʊ/ | ngày mai
tomorrow night (phrase) . /təˈmɑːroʊ naɪt/ | tối mai
tonight (adv/n) . /təˈnaɪt/ | tối nay
too (adv) . /tuː/ | cũng, quá
too many (phrase) . /tuː ˈmeni/ | quá nhiều (số nhiều)
too much (phrase) . /tuː mʌtʃ/ | quá nhiều
took (v) . /tʊk/ | đã lấy, đã chụp (ảnh)
tool (n) . /tuːl/ | dụng cụ, công cụ
tooth (n) . /tuːθ/ | răng (số ít)
toothbrush (n) . /ˈtuːθbrʌʃ/ | bàn chải đánh răng
topic (n) . /ˈtɑːpɪk/ | chủ đề
total (adj/n) . /ˈtoʊtl/ | tổng cộng
tour (n) . /tʊr/ | chuyến du lịch
tourist (n) . /ˈtʊrɪst/ | du khách
toward (prep) . /tɔːrd/ | về phía
towel (n) . /ˈtaʊəl/ | khăn tắm
toy store (n) . /ˈtɔɪ stɔːr/ | cửa hàng đồ chơi
traditional (adj) . /trəˈdɪʃənl/ | truyền thống
traffic (n) . /ˈtræfɪk/ | giao thông
train (n/v) . /treɪn/ | tàu hỏa
train station (n) . /ˈtreɪn ˌsteɪʃn/ | nhà ga xe lửa
trainer (n) . /ˈtreɪnər/ | huấn luyện viên
trash (n) . /træʃ/ | rác rưởi
travel (v/n) . /ˈtrævl/ | đi du lịch
trip (n) . /trɪp/ | chuyến đi
truck (n) . /trʌk/ | xe tải
true (adj) . /truː/ | đúng, sự thật
try (v/n) . /traɪ/ | thử, cố gắng
try to (v) . /traɪ tu/ | cố gắng làm gì
turkey (n) . /ˈtɜːrki/ | gà tây
turn off (v) . /tɜːrn ɒf/ | tắt
turn on (v) . /tɜːrn ɑːn/ | bật (mở máy)
twelve (number) . /twelv/ | mười hai
twenty (number) . /ˈtwenti/ | hai mươi
twenty-one (number) . /ˌtwenti ˈwʌn/ | hai mươi mốt
twice (adv) . /twaɪs/ | hai lần, gấp đôi
type (n/v) . /taɪp/ | loại, kiểu
ugly (adj) . /ˈʌɡli/ | xấu xí
um (interj) . /ʌm/ | ờ, ờm
umbrella (n) . /ʌmˈbrelə/ | cái ô (dù)
uncle (n) . /ˈʌŋkl/ | chú, bác, cậu
under (prep) . /ˈʌndər/ | ở dưới
understand (v) . /ˌʌndərˈstænd/ | hiểu
unfortunately (adv) . /ʌnˈfɔːrtʃənətli/ | thật không may
unhappy (adj) . /ʌnˈhæpi/ | không hạnh phúc
unhealthy (adj) . /ʌnˈhelθi/ | không tốt cho sức khỏe
university (n) . /ˌjuːnɪˈvɜːrsəti/ | trường đại học
unpack (v) . /ˌʌnˈpæk/ | dỡ hành lý
update (v/n) . /ˌʌpˈdeɪt/ | cập nhật
upset (adj) . /ʌpˈset/ | buồn phiền, thất vọng
upstairs (adv) . /ˌʌpˈsterz/ | trên tầng, trên lầu
us (pronoun) . /ʌs/ | chúng tôi (tân ngữ)
use (v/n) . /juːz/ | sử dụng
useful (adj) . /ˈjuːsfl/ | hữu ích
usually (adv) . /ˈjuːʒuəli/ | thường thường
vacation (n) . /veɪˈkeɪʃn/ | kỳ nghỉ
vacuum (v/n) . /ˈvækjuːm/ | hút bụi, máy hút bụi
valuable (adj) . /ˈvæljuəbl/ | có giá trị
vegetable (n) . /ˈvedʒtəbl/ | rau củ
vegetarian (n/adj) . /ˌvedʒəˈteriən/ | người ăn chay, đồ chay
version (n) . /ˈvɜːrʒn/ | phiên bản
very (adv) . /ˈveri/ | rất
video (n) . /ˈvɪdioʊ/ | đoạn phim, video
video game (n) . /ˈvɪdioʊ ɡeɪm/ | trò chơi điện tử
violin (n) . /ˌvaɪəˈlɪn/ | đàn violin
virus (n) . /ˈvaɪrəs/ | vi-rút
visit (v/n) . /ˈvɪzɪt/ | thăm, ghé thăm
volleyball (n) . /ˈvɑːlibɔːl/ | bóng chuyền
wait (v) . /weɪt/ | chờ đợi
wait in line (v) . /weɪt ɪn laɪn/ | đợi xếp hàng
waiting room (n) . /ˈweɪtɪŋ ruːm/ | phòng chờ
walk (v/n) . /wɔːk/ | đi bộ, dắt đi dạo
walk the dog (v) . /wɔːk ðə dɔːɡ/ | dắt chó đi dạo
wall (n) . /wɔːl/ | bức tường
wallet (n) . /ˈwɑːlɪt/ | ví tiền
want (v) . /wɑːnt/ | muốn
want to (v) . /wɑːnt tu/ | muốn làm gì
warm (adj) . /wɔːrm/ | ấm áp
was (v) . /wʌz/ | đã là (số ít)
wash (v) . /wɑːʃ/ | rửa, giặt, gội
washing machine (n) . /ˈwɑːʃɪŋ məˌʃiːn/ | máy giặt
watch (v/n) . /wɑːtʃ/ | xem, quan sát
water (n) . /ˈwɔːtər/ | nước
water bottle (n) . /ˈwɔːtər ˈbɑːtl/ | chai nước
we (pronoun) . /wiː/ | chúng tôi
wear (v) . /wer/ | mặc, đeo, đội
weather (n) . /ˈweðər/ | thời tiết
website (n) . /ˈwebsaɪt/ | trang web
wedding (n) . /ˈwedɪŋ/ | đám cưới
wednesday (n) . /ˈwenzdeɪ/ | thứ Tư
week (n) . /wiːk/ | tuần
weekend (n) . /ˈwiːkend/ | cuối tuần
weight (n) . /weɪt/ | cân nặng
welcome to (phrase) . /ˈwelkəm tu/ | chào mừng đến với
wellness (n) . /ˈwelnəs/ | sức khỏe (thể chất, tinh thần)
went (v) . /went/ | đã đi
what about (phrase) . /wʌt əˈbaʊt/ | còn... thì sao
what kind of (phrase) . /wʌt kaɪnd ɒv/ | loại nào
what's wrong (phrase) . /wʌts rɔːŋ/ | có chuyện gì vậy
wheelchair (n) . /ˈwiːltʃer/ | xe lăn
when (adv/conj) . /wen/ | khi nào
where (adv/conj) . /wer/ | ở đâu
where is (phrase) . /wer ɪz/ | ... ở đâu
which (pronoun/determiner) . /wɪtʃ/ | cái nào, người nào
while (conj) . /waɪl/ | trong khi
white (n/adj) . /waɪt/ | màu trắng
who (pronoun) . /huː/ | ai
who's (phrase) . /huːz/ | ai là
whole (adj) . /hoʊl/ | cả, toàn bộ
whole body (n) . /hoʊl ˈbɑːdi/ | toàn bộ cơ thể
why (adv) . /waɪ/ | tại sao
wife (n) . /waɪf/ | người vợ
will (modal v) . /wɪl/ | sẽ
win (v) . /wɪn/ | chiến thắng
window (n) . /ˈwɪndoʊ/ | cửa sổ
windy (adj) . /ˈwɪndi/ | có gió, nhiều gió
wine (n) . /waɪn/ | rượu vang
winner (n) . /ˈwɪnər/ | người chiến thắng
winter (n) . /ˈwɪntər/ | mùa đông
with (prep) . /wɪð/ | với, cùng với
with a card (phrase) . /wɪð ə kɑːrd/ | bằng thẻ (ngân hàng)
with a check (phrase) . /wɪð ə tʃek/ | bằng séc (ngân hàng)
with cash (phrase) . /wɪð kæʃ/ | bằng tiền mặt
without (prep) . /wɪˈðaʊt/ | mà không có
women (n) . /ˈwɪmɪn/ | phụ nữ (số nhiều)
won't (modal v) . /woʊnt/ | sẽ không
wonderful (adj) . /ˈwʌndərfl/ | tuyệt vời
wool (n) . /wʊl/ | len
word (n) . /wɜːrd/ | từ vựng
wore (v) . /wɔːr/ | đã mặc
work (v/n) . /wɜːrk/ | làm việc, nơi làm việc
workbook (n) . /ˈwɜːrkbʊk/ | sách bài tập
worker (n) . /ˈwɜːrkər/ | công nhân, người làm
workout (n) . /ˈwɜːrkaʊt/ | buổi tập luyện
world (n) . /wɜːrld/ | thế giới
worried (adj) . /ˈwɜːrid/ | lo lắng
worse (adj) . /wɜːrs/ | tệ hơn
worst (adj) . /wɜːrst/ | tệ nhất
would like to (v) . /wʊd laɪk tu/ | muốn (lịch sự)
write (v) . /raɪt/ | viết
writer (n) . /ˈraɪtər/ | nhà văn
wrong (adj) . /rɔːŋ/ | sai
wrote (v) . /roʊt/ | đã viết
yard (n) . /jɑːrd/ | cái sân
year (n) . /jɪr/ | năm
yellow (n/adj) . /ˈjeloʊ/ | màu vàng
yesterday (adv/n) . /ˈjestərdeɪ/ | hôm qua
yet (adv/conj) . /jet/ | chưa
yogurt (n) . /ˈjoʊɡərt/ | sữa chua
you (pronoun) . /juː/ | bạn, các bạn
you'll (phrase) . /juːl/ | bạn sẽ
you're (phrase) . /jʊr/ | bạn là
you're welcome (phrase) . /ˈjʊr ˈwelkəm/ | không có chi
young (adj) . /jʌŋ/ | trẻ trung
your (determiner) . /jɔːr/ | của bạn
yum (interj) . /jʌm/ | ngon quá
zoo (n) . /zuː/ | sở thú
reorder (v) . /ˌriːˈɔːrdər/ | sắp xếp lại, đặt hàng lại
here you are (phrase) . /hɪr juː ɑːr/ | của bạn đây
manage (v) . /ˈmænɪdʒ/ | quản lý, xoay xở được
fill (v) . /fɪl/ | làm đầy, điền vào
lie (v) . /laɪ/ | nói dối, nằm
enormous (adj) . /ɪˈnɔːrməs/ | to lớn, khổng lồ
criticize (v) . /ˈkrɪtɪsaɪz/ | phê bình, chỉ trích
take care of (v) . /teɪk ker ɒv/ | chăm sóc
whose (pronoun) . /huːz/ | của ai
rob (v) . /rɑːb/ | cướp
weekdays (n) . /ˈwiːkdeɪz/ | các ngày trong tuần
mirror (n) . /ˈmɪrər/ | cái gương
frog (n) . /frɑːɡ/ | con ếch
clearly (adv) . /ˈklɪrli/ | một cách rõ ràng
terrible (adj) . /ˈterəbl/ | khủng khiếp, tồi tệ
pandemic (n) . /pænˈdemɪk/ | đại dịch
carry (v) . /ˈkæri/ | mang, vác, vận chuyển
born (v) . /bɔːrn/ | sinh ra, ra đời
mine (pronoun) . /maɪn/ | của tôi (đại từ sở hữu)
collection (n) . /kəˈlekʃn/ | bộ sưu tập
campus (n) . /ˈkæmpəs/ | khuôn viên trường học
staff (n) . /stæf/ | nhân viên, đội ngũ nhân viên
refer (v) . /rɪˈfɜːr/ | tham khảo, ám chỉ
plural (adj) . /ˈplʊrəl/ | ở số nhiều, danh từ số nhiều
bracket (n) . /ˈbrækɪt/ | dấu ngoặc đơn
voluntary (adj) . /ˈvɑːlənteri/ | tự nguyện, tình nguyện
housewife (n) . /ˈhaʊswaɪf/ | người nội trợ
knife (n) . /naɪf/ | con dao
shelf (n) . /ʃelf/ | cái kệ, giá sách
smoking (v) . /ˈsmoʊkɪŋ/ | hút thuốc
cigarette (n) . /ˌsɪɡəˈret/ | điếu thuốc lá
duck (n) . /dʌk/ | con vịt
policeman (n) . /pəˈliːsmən/ | cảnh sát giao thông, cảnh sát nam
advertising (n) . /ˈædvərtaɪzɪŋ/ | hoạt động quảng cáo, ngành quảng cáo
advertisement (n) . /ˌædvərˈtaɪzmənt/ | bài quảng cáo
piece of (phrase) . /piːs ɒv/ | một mẩu, một miếng
bunch of (phrase) . /bʌntʃ ɒv/ | một bó, một nùm, một nhóm
uniform (n) . /ˈjuːnɪfɔːrm/ | đồng phục
honest (adj) . /ˈɑːnɪst/ | thành thật, trung thực
union (n) . /ˈjuːniən/ | liên minh, hiệp hội
unit (n) . /ˈjuːnɪt/ | đơn vị, bài học
European (adj) . /ˌjʊrəˈpiːən/ | thuộc về Châu Âu
honorable (adj) . /ˈɑːnərəbl/ | danh giá, đáng kính trọng
earth (n) . /ɜːrθ/ | trái đất, mặt đất
capital (n) . /ˈkæpɪtl/ | thủ đô, tiền vốn
president (n) . /ˈprezɪdənt/ | chủ tịch, tổng thống
monitor (n) . /ˈmɑːnɪtər/ | lớp trưởng, màn hình máy tính
headmaster (n) . /ˌhedˈmæstər/ | hiệu trưởng
theatre (n) . /ˈθiːətər/ | nhà hát, rạp hát
article (n) . /ˈɑːrtɪkl/ | bài báo, điều khoản, mạo từ
organization (n) . /ˌɔːrɡənəˈzeɪʃn/ | tổ chức, cơ cấu
Pacific (n) . /pəˈsɪfɪk/ | Thái Bình Dương
rise (v) . /raɪz/ | mọc lên, tăng lên
west (n) . /west/ | phía tây
east (n) . /iːst/ | phía đông
crash (v) . /kræʃ/ | va chạm, đâm sầm vào
into (prep) . /ˈɪntu/ | vào trong, thành ra
church (n) . /tʃɜːrt/ | nhà thờ
corner (n) . /ˈkɔːrnər/ | góc (tường, phố)
prison (n) . /ˈprɪzn/ | nhà tù
population (n) . /ˌpɑːpjuˈleɪʃn/ | dân số
round (adj) . /raʊnd/ | tròn, vòng quanh
Indochina (n) . /ˌɪndoʊˈtʃaɪnə/ | Đông Dương
serious (adj) . /ˈsɪriəs/ | nghiêm trọng, nghiêm túc
complete (v) . /kəmˈpliːt/ | hoàn thành
appear (v) . /əˈpɪr/ | xuất hiện
cycle (n) . /ˈsaɪkl/ | chu kỳ, vòng tuần hoàn
phase (n) . /feɪz/ | giai đoạn, thời kỳ
bit (n) . /bɪt/ | một chút, đơn vị bit (máy tính)
byte (n) . /baɪt/ | đơn vị byte (8 bit)
explore (v) . /ɪkˈsplɔːr/ | khám phá, thám hiểm
entrance (n) . /ˈentrəns/ | lối vào, cổng vào
lab (n) . /læb/ | phòng thí nghiệm
base (n) . /beɪs/ | căn cứ, nền tảng
furniture (n) . /ˈfɜːrnɪtʃər/ | đồ nội thất
revolve (v) . /rɪˈvɑːlv/ | quay tròn, xoay quanh
financial (adj) . /faɪˈnænʃl/ | thuộc về tài chính
advisor (n) . /ædˈvaɪzər/ | cố vấn, người hướng dẫn
appointment (n) . /əˈpɔɪntmənt/ | cuộc hẹn
valley (n) . /ˈvæli/ | thung lũng
divide (v) . /dɪˈvaɪd/ | chia ra, phân chia
desert (n) . /ˈdezərt/ | sa mạc
protest (v) . /ˈproʊtest/ | phản đối, phản kháng
concern (n) . /kənˈsɜːrn/ | sự lo ngại, mối quan tâm
increase (v) . /ɪnˈkriːs/ | tăng lên
decrease (v) . /dɪˈkriːs/ | giảm đi
tax (n) . /tæks/ | thuế
nursery (n) . /ˈnɜːrsəri/ | nhà trẻ, phòng trẻ em
surface (n) . /ˈsɜːrfɪs/ | bề mặt
degree (n) . /dɪˈɡriː/ | độ, bằng cấp
release (v) . /rɪˈliːs/ | giải phóng, phát hành
term (n) . /tɜːrm/ | học kỳ, thuật ngữ
issue (n) . /ˈɪʃuː/ | vấn đề, sự phát hành
migrate (v) . /ˈmaɪɡreɪt/ | di cư
since (conj) . /sɪns/ | từ khi, vì
strike (v) . /straɪk/ | đình công, đánh, đập
technological (adj) . /ˌteknəˈlɑːdʒɪkl/ | thuộc về công nghệ
century (n) . /ˈsentʃəri/ | thế kỷ
probable (adj) . /ˈprɑːbəbl/ | có thể, có khả năng xảy ra
